query @ al_title @ al_accession @ evalue
TRINITY_DN33664_c1_g1_i1 @ gi|929107117|ref|XM_014209284.1| PREDICTED: Salmo salar zinc finger protein 205-like (LOC106610114), mRNA @ XM_014209284 @ 1.65189e-51
TRINITY_DN33664_c1_g1_i1 @ gi|929107117|ref|XM_014209284.1| PREDICTED: Salmo salar zinc finger protein 205-like (LOC106610114), mRNA @ XM_014209284 @ 1.88813e-06
TRINITY_DN33664_c1_g1_i1 @ gi|1348597785|ref|XM_023984230.2| PREDICTED: Salvelinus alpinus uncharacterized LOC111961736 (LOC111961736), mRNA @ XM_023984230 @ 6.5786e-44
TRINITY_DN33664_c1_g1_i1 @ gi|1348597785|ref|XM_023984230.2| PREDICTED: Salvelinus alpinus uncharacterized LOC111961736 (LOC111961736), mRNA @ XM_023984230 @ 2.30022e-05
TRINITY_DN30589_c3_g3_i1 @ gi|1158931405|ref|XM_020458236.1| PREDICTED: Oncorhynchus kisutch uncharacterized LOC109868580 (LOC109868580), mRNA @ XM_020458236 @ 0.0
TRINITY_DN30589_c3_g3_i1 @ gi|1158931405|ref|XM_020458236.1| PREDICTED: Oncorhynchus kisutch uncharacterized LOC109868580 (LOC109868580), mRNA @ XM_020458236 @ 9.15248e-17
TRINITY_DN30589_c3_g3_i1 @ gi|1158931405|ref|XM_020458236.1| PREDICTED: Oncorhynchus kisutch uncharacterized LOC109868580 (LOC109868580), mRNA @ XM_020458236 @ 4.7411e-14
TRINITY_DN30589_c3_g3_i1 @ gi|1158931405|ref|XM_020458236.1| PREDICTED: Oncorhynchus kisutch uncharacterized LOC109868580 (LOC109868580), mRNA @ XM_020458236 @ 6.17234
TRINITY_DN26495_c7_g3_i1 @ gi|1696071817|ref|XM_029722296.1| PREDICTED: Salmo trutta dematin actin binding protein (dmtn), transcript variant X4, mRNA @ XM_029722296 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|1696071815|ref|XM_029722295.1| PREDICTED: Salmo trutta dematin actin binding protein (dmtn), transcript variant X3, mRNA @ XM_029722295 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|1696071813|ref|XM_029722294.1| PREDICTED: Salmo trutta dematin actin binding protein (dmtn), transcript variant X2, mRNA @ XM_029722294 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|1696071811|ref|XM_029722293.1| PREDICTED: Salmo trutta dematin actin binding protein (dmtn), transcript variant X1, mRNA @ XM_029722293 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|929305594|ref|XM_014174849.1| PREDICTED: Salmo salar dematin actin binding protein (dmtn), transcript variant X6, mRNA @ XM_014174849 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|929305592|ref|XM_014174848.1| PREDICTED: Salmo salar dematin actin binding protein (dmtn), transcript variant X5, mRNA @ XM_014174848 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|929305590|ref|XM_014174847.1| PREDICTED: Salmo salar dematin actin binding protein (dmtn), transcript variant X4, mRNA @ XM_014174847 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|929305588|ref|XM_014174846.1| PREDICTED: Salmo salar dematin actin binding protein (dmtn), transcript variant X3, mRNA @ XM_014174846 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|929305586|ref|XM_014174845.1| PREDICTED: Salmo salar dematin actin binding protein (dmtn), transcript variant X2, mRNA @ XM_014174845 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|929305584|ref|XM_014174844.1| PREDICTED: Salmo salar dematin actin binding protein (dmtn), transcript variant X1, mRNA @ XM_014174844 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|1367437779|ref|XM_024418368.1| PREDICTED: Oncorhynchus tshawytscha dematin actin binding protein (dmtn), transcript variant X7, mRNA @ XM_024418368 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|1367437777|ref|XM_024418367.1| PREDICTED: Oncorhynchus tshawytscha dematin actin binding protein (dmtn), transcript variant X6, mRNA @ XM_024418367 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|1367437775|ref|XM_024418366.1| PREDICTED: Oncorhynchus tshawytscha dematin actin binding protein (dmtn), transcript variant X5, mRNA @ XM_024418366 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|1367437773|ref|XM_024418365.1| PREDICTED: Oncorhynchus tshawytscha dematin actin binding protein (dmtn), transcript variant X4, mRNA @ XM_024418365 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|1367437771|ref|XM_024418364.1| PREDICTED: Oncorhynchus tshawytscha dematin actin binding protein (dmtn), transcript variant X3, mRNA @ XM_024418364 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|1367437769|ref|XM_024418363.1| PREDICTED: Oncorhynchus tshawytscha dematin actin binding protein (dmtn), transcript variant X2, mRNA @ XM_024418363 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|1367437767|ref|XM_024418362.1| PREDICTED: Oncorhynchus tshawytscha dematin actin binding protein (dmtn), transcript variant X1, mRNA @ XM_024418362 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|1343016411|ref|XM_024001872.1| PREDICTED: Salvelinus alpinus dematin (LOC111974218), transcript variant X2, mRNA @ XM_024001872 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|1343016411|ref|XM_024001872.1| PREDICTED: Salvelinus alpinus dematin (LOC111974218), transcript variant X2, mRNA @ XM_024001872 @ 4.14789e-59
TRINITY_DN26495_c7_g3_i1 @ gi|1343016409|ref|XM_024001871.1| PREDICTED: Salvelinus alpinus dematin (LOC111974218), transcript variant X1, mRNA @ XM_024001871 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|1343016409|ref|XM_024001871.1| PREDICTED: Salvelinus alpinus dematin (LOC111974218), transcript variant X1, mRNA @ XM_024001871 @ 4.14789e-59
TRINITY_DN26495_c7_g3_i1 @ gi|1211372108|ref|XM_021606711.1| PREDICTED: Oncorhynchus mykiss dematin actin binding protein (dmtn), mRNA @ XM_021606711 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|1158862157|ref|XM_020476193.1| PREDICTED: Oncorhynchus kisutch dematin actin binding protein (dmtn), transcript variant X6, mRNA @ XM_020476193 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|1158862155|ref|XM_020476188.1| PREDICTED: Oncorhynchus kisutch dematin actin binding protein (dmtn), transcript variant X5, mRNA @ XM_020476188 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|1158862153|ref|XM_020476183.1| PREDICTED: Oncorhynchus kisutch dematin actin binding protein (dmtn), transcript variant X4, mRNA @ XM_020476183 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|1158862151|ref|XM_020476172.1| PREDICTED: Oncorhynchus kisutch dematin actin binding protein (dmtn), transcript variant X3, mRNA @ XM_020476172 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|1158862149|ref|XM_020476166.1| PREDICTED: Oncorhynchus kisutch dematin actin binding protein (dmtn), transcript variant X2, mRNA @ XM_020476166 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|1158862147|ref|XM_020476160.1| PREDICTED: Oncorhynchus kisutch dematin actin binding protein (dmtn), transcript variant X1, mRNA @ XM_020476160 @ 0.0
TRINITY_DN26495_c7_g3_i1 @ gi|1634119781|ref|XM_020052519.2| PREDICTED: Esox lucius actin filament-associated protein 1-like 2 (LOC109616509), transcript variant X2, mRNA @ XM_020052519 @ 1.11303e-53
TRINITY_DN26495_c7_g3_i1 @ gi|1634119781|ref|XM_020052519.2| PREDICTED: Esox lucius actin filament-associated protein 1-like 2 (LOC109616509), transcript variant X2, mRNA @ XM_020052519 @ 1.35835e-14
TRINITY_DN26495_c7_g3_i1 @ gi|1634119780|ref|XM_020052518.2| PREDICTED: Esox lucius actin filament-associated protein 1-like 2 (LOC109616509), transcript variant X1, mRNA @ XM_020052518 @ 1.11303e-53
TRINITY_DN26495_c7_g3_i1 @ gi|1634119780|ref|XM_020052518.2| PREDICTED: Esox lucius actin filament-associated protein 1-like 2 (LOC109616509), transcript variant X1, mRNA @ XM_020052518 @ 1.35835e-14
TRINITY_DN26495_c7_g3_i1 @ gi|1696220822|ref|XM_029741603.1| PREDICTED: Salmo trutta type I inositol 3,4-bisphosphate 4-phosphatase-like (LOC115179807), transcript variant X3, mRNA @ XM_029741603 @ 1.54987e-07
TRINITY_DN26495_c7_g3_i1 @ gi|1696220820|ref|XM_029741602.1| PREDICTED: Salmo trutta type I inositol 3,4-bisphosphate 4-phosphatase-like (LOC115179807), transcript variant X2, mRNA @ XM_029741602 @ 1.54987e-07
TRINITY_DN26495_c7_g3_i1 @ gi|1696220818|ref|XM_029741601.1| PREDICTED: Salmo trutta type I inositol 3,4-bisphosphate 4-phosphatase-like (LOC115179807), transcript variant X1, mRNA @ XM_029741601 @ 1.54987e-07
TRINITY_DN38687_c3_g3_i1 @ gi|1343016262|ref|XM_024001794.1| PREDICTED: Salvelinus alpinus ankyrin-1-like (LOC111974162), mRNA @ XM_024001794 @ 2.61068e-112
TRINITY_DN35251_c8_g2_i1 @ gi|929267483|ref|XM_014154860.1| PREDICTED: Salmo salar coiled-coil domain containing 88A (ccdc88a), mRNA @ XM_014154860 @ 3.63531e-66
TRINITY_DN35251_c8_g2_i1 @ gi|929267483|ref|XM_014154860.1| PREDICTED: Salmo salar coiled-coil domain containing 88A (ccdc88a), mRNA @ XM_014154860 @ 1.76841
